time,MAC000055,MAC000203,MAC000214,MAC000239,MAC000250,MAC000676,MAC000727,MAC000734,MAC000761,MAC000792,MAC000864,MAC001072,MAC001210,MAC001238,MAC001607,MAC001759,MAC001795,MAC001799,MAC001816,MAC001906,MAC001996,MAC002205,MAC002220,MAC002733,MAC002756,MAC002877,MAC003046,MAC003473,MAC003488,MAC003490,MAC003718,MAC004146,MAC004508,MAC004619,MAC004848,MAC004856,MAC004933,MAC005219,MAC005325,MAC005531
00:48:00,0.316,0.226,0.102,0.22,0.346,0.116,1.56,0.216,0.39,0.462,0.252,0.334,0.078,0.082,0.202,0.27,0.13,0.074,0.222,0.18,0.438,0.086,0.13,0.074,0.086,0.136,0.276,0.194,0.114,0.07,1.272,0.0,0.078,0.05,0.088,0.528,0.552,1.06,0.398,0.238
00:49:00,0.316,0.226,0.102,0.22,0.346,0.116,1.56,0.216,0.39,0.462,0.252,0.334,0.078,0.082,0.202,0.27,0.13,0.074,0.222,0.18,0.438,0.086,0.13,0.074,0.086,0.136,0.276,0.194,0.114,0.07,1.272,0.0,0.078,0.05,0.088,0.528,0.552,1.06,0.398,0.238
00:50:00,0.316,0.226,0.102,0.22,0.346,0.116,1.56,0.216,0.39,0.462,0.252,0.334,0.078,0.082,0.202,0.27,0.13,0.074,0.222,0.18,0.438,0.086,0.13,0.074,0.086,0.136,0.276,0.194,0.114,0.07,1.272,0.0,0.078,0.05,0.088,0.528,0.552,1.06,0.398,0.238
00:51:00,0.316,0.226,0.102,0.22,0.346,0.116,1.56,0.216,0.39,0.462,0.252,0.334,0.078,0.082,0.202,0.27,0.13,0.074,0.222,0.18,0.438,0.086,0.13,0.074,0.086,0.136,0.276,0.194,0.114,0.07,1.272,0.0,0.078,0.05,0.088,0.528,0.552,1.06,0.398,0.238
00:52:00,0.316,0.226,0.102,0.22,0.346,0.116,1.56,0.216,0.39,0.462,0.252,0.334,0.078,0.082,0.202,0.27,0.13,0.074,0.222,0.18,0.438,0.086,0.13,0.074,0.086,0.136,0.276,0.194,0.114,0.07,1.272,0.0,0.078,0.05,0.088,0.528,0.552,1.06,0.398,0.238
00:53:00,0.316,0.226,0.102,0.22,0.346,0.116,1.56,0.216,0.39,0.462,0.252,0.334,0.078,0.082,0.202,0.27,0.13,0.074,0.222,0.18,0.438,0.086,0.13,0.074,0.086,0.136,0.276,0.194,0.114,0.07,1.272,0.0,0.078,0.05,0.088,0.528,0.552,1.06,0.398,0.238
00:54:00,0.316,0.226,0.102,0.22,0.346,0.116,1.56,0.216,0.39,0.462,0.252,0.334,0.078,0.082,0.202,0.27,0.13,0.074,0.222,0.18,0.438,0.086,0.13,0.074,0.086,0.136,0.276,0.194,0.114,0.07,1.272,0.0,0.078,0.05,0.088,0.528,0.552,1.06,0.398,0.238
00:55:00,0.316,0.226,0.102,0.22,0.346,0.116,1.56,0.216,0.39,0.462,0.252,0.334,0.078,0.082,0.202,0.27,0.13,0.074,0.222,0.18,0.438,0.086,0.13,0.074,0.086,0.136,0.276,0.194,0.114,0.07,1.272,0.0,0.078,0.05,0.088,0.528,0.552,1.06,0.398,0.238
00:56:00,0.316,0.226,0.102,0.22,0.346,0.116,1.56,0.216,0.39,0.462,0.252,0.334,0.078,0.082,0.202,0.27,0.13,0.074,0.222,0.18,0.438,0.086,0.13,0.074,0.086,0.136,0.276,0.194,0.114,0.07,1.272,0.0,0.078,0.05,0.088,0.528,0.552,1.06,0.398,0.238
00:57:00,0.316,0.226,0.102,0.22,0.346,0.116,1.56,0.216,0.39,0.462,0.252,0.334,0.078,0.082,0.202,0.27,0.13,0.074,0.222,0.18,0.438,0.086,0.13,0.074,0.086,0.136,0.276,0.194,0.114,0.07,1.272,0.0,0.078,0.05,0.088,0.528,0.552,1.06,0.398,0.238
