,always_on,night_setback,fixed_time_start
1900-01-01 00:00:00,2.9177467168666626,2.4907270630679816,2.532152175379915
1900-01-01 00:01:00,2.9652387372570828,2.4837805044935353,2.5679839639118462
1900-01-01 00:02:00,2.9910404772470347,2.5126375871954476,2.5131542492849865
1900-01-01 00:03:00,2.985950300751194,2.507355408320605,2.5298112176862135
1900-01-01 00:04:00,2.994979699646474,2.544775640231561,2.537922460044846
1900-01-01 00:05:00,2.969189840072005,2.527334514857628,2.5297265170143195
1900-01-01 00:06:00,3.0384434481069067,2.5413842588987965,2.5329702410399846
1900-01-01 00:07:00,3.075905599288969,2.559290698406992,2.5685017211119194
1900-01-01 00:08:00,3.001082438871788,2.598250419368286,2.544157363888811
1900-01-01 00:09:00,2.985285163969377,2.572200600493007,2.535785669906082
1900-01-01 00:10:00,2.9780000734509375,2.599422350671955,2.580450592270295
1900-01-01 00:11:00,3.0736626881716056,2.612146665335715,2.5951620702055536
1900-01-01 00:12:00,3.026450877421465,2.5586025796628307,2.5818297755833406
1900-01-01 00:13:00,3.0958613781368367,2.6027109935259136,2.6341350626749707
1900-01-01 00:14:00,3.0991822369737965,2.562944089608312,2.6163215253680647
1900-01-01 00:15:00,3.122610180519205,2.6671766674715554,2.5617513704737234
1900-01-01 00:16:00,3.0798290744580337,2.610915286761549,2.634407011047101
1900-01-01 00:17:00,3.1085679527412893,2.585035005679996,2.622651801210802
1900-01-01 00:18:00,3.1239504999063774,2.6622454382578864,2.678677147907823
1900-01-01 00:19:00,3.12973884436012,2.695226673470744,2.639701000495416
1900-01-01 00:20:00,3.1549891354116415,2.646684343494399,2.664660438903749
1900-01-01 00:21:00,3.149998335735904,2.6867286315383057,2.6806101852267945
1900-01-01 00:22:00,3.1202821096699074,2.7073609753267394,2.679671672401108
1900-01-01 00:23:00,3.145976001065098,2.6864732835676897,2.6631141824161766
1900-01-01 00:24:00,3.134048279971014,2.7031151248652385,2.6872822556938263
1900-01-01 00:25:00,3.1753394258828336,2.7140618022124463,2.7368110199125693
1900-01-01 00:26:00,3.171575777474535,2.7529208194782857,2.713203273253065
1900-01-01 00:27:00,3.157892209710857,2.7429386395053554,2.7212970696691796
1900-01-01 00:28:00,3.1793198473775424,2.7158887050881844,2.7187583208752293
1900-01-01 00:29:00,3.2256536480505855,2.7295253533094854,2.723277915919066
1900-01-01 00:30:00,3.274471998104252,2.7790944547686838,2.750615296211719
1900-01-01 00:31:00,3.2224087050352006,2.763770240457241,2.7480342878195727
1900-01-01 00:32:00,3.2829707556076535,2.7491690439452148,2.762811560219996
1900-01-01 00:33:00,3.3042748203653236,2.7466347127147723,2.7732125237741236
1900-01-01 00:34:00,3.276915649739852,2.781717542037577,2.74236723412593
1900-01-01 00:35:00,3.2977883358964855,2.82994313170076,2.8060014717045187
1900-01-01 00:36:00,3.3207693653607944,2.829462129779239,2.8139946552381843
1900-01-01 00:37:00,3.2922482696726267,2.7981913405513077,2.8438549625002194
1900-01-01 00:38:00,3.3070613609756636,2.8039582351732903,2.831919126882847
1900-01-01 00:39:00,3.29827677772236,2.830463417647418,2.8465839756825093
1900-01-01 00:40:00,3.435529504586591,2.812805476196229,2.829663357091001
1900-01-01 00:41:00,3.370616110767861,2.8713619163222956,2.864534801682547
1900-01-01 00:42:00,3.3367432531266448,2.902749768818211,2.837911412671391
1900-01-01 00:43:00,3.3613861731639982,2.885487010695374,2.8720455296959497
1900-01-01 00:44:00,3.466295941255058,2.824403921920599,2.878796245682808
1900-01-01 00:45:00,3.4375690798404985,2.8974702786764737,2.8915590676693523
1900-01-01 00:46:00,3.411910170675302,2.89268329835077,2.8686752733595364
1900-01-01 00:47:00,3.3506353192525484,2.892236025944423,2.8761467072050926
1900-01-01 00:48:00,3.4196961997044992,2.9045338998324794,2.9212987479121426
1900-01-01 00:49:00,3.453456304125236,2.904787221983863,2.907935555728944
1900-01-01 00:50:00,3.5223891834126184,2.9909381806681363,2.9536788841884314
1900-01-01 00:51:00,3.4411638084127905,2.935786025857151,2.9080523028706895
1900-01-01 00:52:00,3.5016694341490764,3.033647659828348,2.9956617538364596
1900-01-01 00:53:00,3.4649566703829002,2.965599025562696,2.974143579116061
1900-01-01 00:54:00,3.5125198829588293,2.9980021316939136,2.9498227335048997
1900-01-01 00:55:00,3.5347111271626455,2.9829636216749393,2.9568666213798647
1900-01-01 00:56:00,3.5098948813255135,2.975220586456091,3.024553253895014
1900-01-01 00:57:00,3.579104168951238,3.032001580666582,3.0147903046313433
1900-01-01 00:58:00,3.5419730508117397,3.062268180892894,2.997416485335942
1900-01-01 00:59:00,3.5064502853079107,3.016753870084009,3.080028214441858
1900-01-01 01:00:00,3.566440273960582,3.0194601952988522,2.992108416329723
1900-01-01 01:01:00,3.5938534970611875,3.068248642370845,3.0458674212855055
1900-01-01 01:02:00,3.5522571681439414,3.030304176686758,3.047204991921272
1900-01-01 01:03:00,3.5083680252466123,3.061008092096342,3.0771140540206767
1900-01-01 01:04:00,3.5209840447410605,3.0307784683849808,3.0178932473743987
1900-01-01 01:05:00,3.5452280367139366,3.0044540685347014,3.0202012182471534
1900-01-01 01:06:00,3.5376029232207626,3.0237709910156223,2.968092052916205
1900-01-01 01:07:00,3.620409781733006,2.988047682591568,3.0407656097719395
1900-01-01 01:08:00,3.539397018795134,3.0620417551514456,3.118713425409976
1900-01-01 01:09:00,3.589205285800307,3.081927398738188,3.055583898324528
1900-01-01 01:10:00,3.551048124377122,3.034336351222296,3.0033190922122825
1900-01-01 01:11:00,3.5281956996709996,2.993297634475921,3.048213855462311
1900-01-01 01:12:00,3.551555552251708,3.011529915677035,3.007500716416392
1900-01-01 01:13:00,3.5116343853170298,3.026036806788809,3.000443504990872
1900-01-01 01:14:00,3.5809942928836085,3.069353202753631,3.0355875038923728
1900-01-01 01:15:00,3.5557145967141333,3.0329872743772466,3.0654783167207476
1900-01-01 01:16:00,3.5998757782469624,3.056658225621087,3.025053326558969
1900-01-01 01:17:00,3.591991469786525,3.065576895736687,3.0952665726906865
1900-01-01 01:18:00,3.5850198021352004,3.0520419534811354,3.038466192183883
1900-01-01 01:19:00,3.5053451747199844,3.0094913599845534,2.9972336391178893
1900-01-01 01:20:00,3.616610471036239,3.037462291809455,3.037953213017193
1900-01-01 01:21:00,3.5678034619740715,3.003519638681553,3.03510278894128
1900-01-01 01:22:00,3.561730068845463,3.029538961368215,3.0854449405546656
1900-01-01 01:23:00,3.567217223967635,3.012326141506623,3.070369026543663
1900-01-01 01:24:00,3.558088860117069,3.065692891238004,2.983712871337787
1900-01-01 01:25:00,3.6140730555174807,3.0632969076693786,3.0121120929943257
1900-01-01 01:26:00,3.5765234466898583,3.029670121891063,3.057642156615534
1900-01-01 01:27:00,3.5862981179119746,3.0658378024764374,3.1074769500053354
1900-01-01 01:28:00,3.491127546251353,3.0133372931126465,3.0196543508374103
1900-01-01 01:29:00,3.5366958680434197,3.044299570775985,3.0214189979500934
1900-01-01 01:30:00,3.546373916155451,3.0208305687530825,3.001472763441475
1900-01-01 01:31:00,3.563227867991015,2.9718924045575332,3.022578788521189
1900-01-01 01:32:00,3.4650355222784985,3.0322133397419235,3.064733034743858
1900-01-01 01:33:00,3.6568443213495523,3.026571116636313,3.031322294867758
